"Date","Region","Industry","UOM","Employment"
"2015-01","Canada","Industrial aggregate including unclassified businesses [00-91N]","Persons",15742637
"2015-01","Canada","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",15509496
"2015-01","Canada","Goods producing industries [11-33N]","Persons",2864222
"2015-01","Canada","Forestry, logging and support [11N]","Persons",39399
"2015-01","Canada","Mining, quarrying, and oil and gas extraction [21]","Persons",229447
"2015-01","Canada","Utilities [22]","Persons",116034
"2015-01","Canada","Construction [23]","Persons",979915
"2015-01","Canada","Manufacturing [31-33]","Persons",1499426
"2015-01","Canada","Non-durable goods [311N]","Persons",604454
"2015-01","Canada","Durable goods [321N]","Persons",894973
"2015-01","Canada","Service producing industries [41-91N]","Persons",12645274
"2015-01","Canada","Trade [41-45N]","Persons",2719998
"2015-01","Canada","Wholesale trade [41]","Persons",788240
"2015-01","Canada","Retail trade [44-45]","Persons",1931758
"2015-01","Canada","Transportation and warehousing [48-49]","Persons",718135
"2015-01","Canada","Information and cultural industries [51]","Persons",347886
"2015-01","Canada","Finance and insurance [52]","Persons",705439
"2015-01","Canada","Real estate and rental and leasing [53]","Persons",285869
"2015-01","Canada","Professional, scientific and technical services [54]","Persons",852879
"2015-01","Canada","Management of companies and enterprises [55]","Persons",107304
"2015-01","Canada","Administrative and support, waste management and remediation services [56]","Persons",788158
"2015-01","Canada","Educational services [61]","Persons",1232317
"2015-01","Canada","Health care and social assistance [62]","Persons",1815967
"2015-01","Canada","Arts, entertainment and recreation [71]","Persons",256847
"2015-01","Canada","Accommodation and food services [72]","Persons",1218786
"2015-01","Canada","Other services (except public administration) [81]","Persons",550884
"2015-01","Canada","Public administration [91]","Persons",1044806
"2015-01","Newfoundland and Labrador","Industrial aggregate including unclassified businesses [00-91N]","Persons",218482
"2015-01","Newfoundland and Labrador","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",213265
"2015-01","Newfoundland and Labrador","Goods producing industries [11-33N]","Persons",40637
"2015-01","Newfoundland and Labrador","Forestry, logging and support [11N]","Persons",692
"2015-01","Newfoundland and Labrador","Mining, quarrying, and oil and gas extraction [21]","Persons",5854
"2015-01","Newfoundland and Labrador","Utilities [22]","Persons",2786
"2015-01","Newfoundland and Labrador","Construction [23]","Persons",19549
"2015-01","Newfoundland and Labrador","Manufacturing [31-33]","Persons",11757
"2015-01","Newfoundland and Labrador","Service producing industries [41-91N]","Persons",172628
"2015-01","Newfoundland and Labrador","Trade [41-45N]","Persons",37233
"2015-01","Newfoundland and Labrador","Wholesale trade [41]","Persons",6533
"2015-01","Newfoundland and Labrador","Retail trade [44-45]","Persons",30700
"2015-01","Newfoundland and Labrador","Transportation and warehousing [48-49]","Persons",10872
"2015-01","Newfoundland and Labrador","Information and cultural industries [51]","Persons",4683
"2015-01","Newfoundland and Labrador","Finance and insurance [52]","Persons",6796
"2015-01","Newfoundland and Labrador","Real estate and rental and leasing [53]","Persons",2583
"2015-01","Newfoundland and Labrador","Professional, scientific and technical services [54]","Persons",7737
"2015-01","Newfoundland and Labrador","Management of companies and enterprises [55]","Persons",1141
"2015-01","Newfoundland and Labrador","Administrative and support, waste management and remediation services [56]","Persons",6566
"2015-01","Newfoundland and Labrador","Educational services [61]","Persons",20241
"2015-01","Newfoundland and Labrador","Health care and social assistance [62]","Persons",32202
"2015-01","Newfoundland and Labrador","Arts, entertainment and recreation [71]","Persons",2082
"2015-01","Newfoundland and Labrador","Accommodation and food services [72]","Persons",15870
"2015-01","Newfoundland and Labrador","Other services (except public administration) [81]","Persons",6778
"2015-01","Newfoundland and Labrador","Public administration [91]","Persons",17842
"2015-01","Prince Edward Island","Industrial aggregate including unclassified businesses [00-91N]","Persons",62802
"2015-01","Prince Edward Island","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",62177
"2015-01","Prince Edward Island","Goods producing industries [11-33N]","Persons",8825
"2015-01","Prince Edward Island","Construction [23]","Persons",3358
"2015-01","Prince Edward Island","Manufacturing [31-33]","Persons",4981
"2015-01","Prince Edward Island","Service producing industries [41-91N]","Persons",53353
"2015-01","Prince Edward Island","Trade [41-45N]","Persons",10742
"2015-01","Prince Edward Island","Wholesale trade [41]","Persons",2117
"2015-01","Prince Edward Island","Retail trade [44-45]","Persons",8626
"2015-01","Prince Edward Island","Transportation and warehousing [48-49]","Persons",2562
"2015-01","Prince Edward Island","Information and cultural industries [51]","Persons",1075
"2015-01","Prince Edward Island","Finance and insurance [52]","Persons",1838
"2015-01","Prince Edward Island","Real estate and rental and leasing [53]","Persons",747
"2015-01","Prince Edward Island","Professional, scientific and technical services [54]","Persons",2161
"2015-01","Prince Edward Island","Management of companies and enterprises [55]","Persons",310
"2015-01","Prince Edward Island","Administrative and support, waste management and remediation services [56]","Persons",3899
"2015-01","Prince Edward Island","Educational services [61]","Persons",4846
"2015-01","Prince Edward Island","Health care and social assistance [62]","Persons",8981
"2015-01","Prince Edward Island","Arts, entertainment and recreation [71]","Persons",916
"2015-01","Prince Edward Island","Accommodation and food services [72]","Persons",5744
"2015-01","Prince Edward Island","Other services (except public administration) [81]","Persons",2029
"2015-01","Prince Edward Island","Public administration [91]","Persons",7502
"2015-01","Nova Scotia","Industrial aggregate including unclassified businesses [00-91N]","Persons",402312
"2015-01","Nova Scotia","Industrial aggregate excluding unclassified businesses [11-91N]","Persons",398515
"2015-01","Nova Scotia","Goods producing industries [11-33N]","Persons",57644
"2015-01","Nova Scotia","Construction [23]","Persons",22644
